,Player,Team,QB Rating,Completions,Attempts,Completion Percentage,Passing Yards,Passing Yards per Attempt,Passing Touchdowns,Interceptions,Passing First Downs,Sacks,Yards Lost,Fumbles,Fumbles Lost
0,Joe Burrow,CIN,93.1,28.0,37.0,75.7,348.0,9.4,0.0,1.0,13.0,9.0,68.0,0.0,0.0
1,Ryan Tannehill,TEN,66.7,15.0,24.0,62.5,220.0,9.2,1.0,3.0,9.0,1.0,7.0,0.0,0.0
